起点,终点,距离
安庆,铜陵,0.8785345916946022
安庆,景德镇,1.2727877595545913
安庆,六安,1.2954772984429372
安庆,九江,1.3543543696688143
蚌埠,淮南,0.47527105613745063
蚌埠,宿州,0.7928163864508632
蚌埠,合肥,1.0595202821701912
蚌埠,淮北,1.1726429820934445
亳州,商丘,0.6120448110391851
亳州,阜阳,0.9352565610488921
亳州,淮北,1.0133939771781804
亳州,周口,1.1632346539133862
滁州,南京,0.49063785710542945
滁州,马鞍山,0.5231978670875913
滁州,芜湖,0.8532339516340188
滁州,扬州,1.0482989112280896
滁州,合肥,1.0505826317334501
阜阳,淮南,1.1855680094389283
阜阳,宿州,1.3385838678484094
阜阳,六安,1.3560049650473252
合肥,淮南,0.8024994944023394
合肥,六安,0.8345407559286772
淮北,宿州,0.3798945346382337
淮北,徐州,0.501579571037345
淮北,枣庄,0.9549248685739662
淮北,商丘,1.2420884431170678
淮南,宿州,1.0073635174637803
淮南,六安,1.0526187591345666
黄山,衢州,0.9746630959675222
黄山,景德镇,1.1839642695305388
黄山,上饶,1.2706989289843593
黄山,铜陵,1.2821933688242966
马鞍山,芜湖,0.37453010052063596
马鞍山,南京,0.4814294125310601
马鞍山,宣城,0.8073217792838213
马鞍山,铜陵,1.0154510258215295
铜陵,芜湖,0.6852708252552453
铜陵,宣城,0.9122737113059844
芜湖,宣城,0.5506502276781455
芜湖,南京,0.8411242041660649
宿州,徐州,0.6616584162859249
宣城,南京,1.1401871954604639
北京,廊坊,0.4843176114916708
北京,天津,1.0964026849383355
北京,保定,1.4066295256086512
北京,沧州,1.6561162721071243
北京,承德,1.8597645025811618
北京,张家口,1.791028985839435
福州,宁德,0.6151773771815728
福州,莆田,0.8058279403172833
福州,南平,1.2505115146259194
福州,泉州,1.367084020717089
龙岩,漳州,0.9546919146536226
龙岩,梅州,1.210924864737691
龙岩,厦门,1.2752761135769832
龙岩,三明,1.293079721765443
南平,三明,0.6862808777235483
南平,宁德,1.4072540912201978
南平,莆田,1.549793428931745
宁德,莆田,1.4185537915722446
宁德,温州,1.7122739606608
莆田,泉州,0.6228681941342075
莆田,厦门,1.294695591051427
莆田,三明,1.705889397089105
泉州,厦门,0.6777388347143716
泉州,漳州,0.9955033790324397
泉州,三明,1.5900888744912969
厦门,漳州,0.4002484218894648
漳州,潮州,1.3964940055904262
兰州,西宁,2.11902041399063
兰州,银川,3.3796009511396408
兰州,宝鸡,3.6938208089494515
兰州,汉中,4.330805720858064
兰州,乌鲁木齐,18.01707286547823
潮州,揭阳,0.22537556726938737
潮州,汕头,0.3162638829363887
潮州,梅州,0.7686169778381139
东莞,惠州,0.561294615210231
东莞,广州,0.60484594086263
东莞,深圳,0.6130142587216091
东莞,中山,0.6909615362739011
东莞,河源,1.063554211933744
东莞,清远,0.9450119467191942
东莞,珠海,0.9255231668888669
佛山,广州,0.18440754293683007
佛山,江门,0.48621338516437346
佛山,中山,0.6015521052510772
佛山,清远,0.6473713221482693
佛山,肇庆,0.6567420065817255
广州,清远,0.5587039367679429
广州,江门,0.6078630559040422
广州,韶关,1.6222743215304245
广州,肇庆,0.8124913999403204
广州,中山,0.6300321233270606
河源,惠州,0.6638446273956009
河源,汕尾,1.2064238757522203
河源,深圳,1.3521632298158361
河源,韶关,1.5331993484100452
惠州,深圳,0.6885413871801697
惠州,汕尾,1.0679739922793101
江门,中山,0.3304025936111981
江门,珠海,0.5645517702505239
江门,肇庆,0.8367370119756777
揭阳,汕头,0.43303332949785805
揭阳,梅州,0.7291481074548569
揭阳,汕尾,1.2095553707065267
茂名,湛江,0.6735385729006165
茂名,玉林,1.1479166431758043
茂名,北海,1.7346302249197125
茂名,海口,1.7906238845921836
茂名,梧州,1.847935336099185
茂名,三亚,3.646648683656408
梅州,汕头,1.0844441689607633
梅州,赣州,1.948568289199539
清远,肇庆,0.9199733876330233
清远,韶关,1.123107200650503
清远,梧州,1.9048024538859583
汕头,汕尾,1.4403113837670674
汕尾,深圳,1.3409804208969596
韶关,郴州,1.1620675955816866
韶关,赣州,1.801927329451435
深圳,珠海,0.6498602696118677
深圳,中山,0.6844176186583734
湛江,海口,1.1821834569494702
湛江,北海,1.2896195360958256
湛江,玉林,1.429998151017339
湛江,三亚,3.0274059736853944
肇庆,梧州,1.2733828987861475
中山,珠海,0.3483941359581098
百色,南宁,1.9609332787295524
百色,安顺,2.4528875765556384
百色,贵阳,2.67197824469025
百色,柳州,2.756102495380203
百色,昆明,4.09937515358524
百色,曲靖,3.3062309675913486
北海,玉林,1.5390671800480344
北海,南宁,1.5966826605910103
北海,海口,1.7613636712595722
北海,三亚,3.1781559689659655
桂林,柳州,1.3070240680603469
桂林,永州,1.7557966829903724
桂林,梧州,2.0160657475092405
桂林,邵阳,2.2802456090785457
柳州,南宁,1.8287236847555646
柳州,玉林,1.8744142254467124
柳州,梧州,2.0247277596766002
南宁,玉林,1.8553855580404226
梧州,玉林,1.4014509171241087
安顺,贵阳,0.8276987281281769
安顺,遵义,1.7835097352313491
安顺,曲靖,2.2611998582073727
安顺,昆明,3.4404013353713605
贵阳,遵义,1.1719268504689204
贵阳,铜仁,2.7662982410615027
贵阳,曲靖,3.086439138415994
铜仁,怀化,0.7843323899279
铜仁,遵义,2.2559878071004684
铜仁,邵阳,2.316246979723021
铜仁,恩施,2.6223893905718882
遵义,重庆,1.889350435164954
海口,三亚,1.8562830781281732
保定,衡水,1.1389248228873543
保定,石家庄,1.3106424288664662
保定,廊坊,1.3884475413140394
保定,张家口,2.036126201083081
沧州,天津,0.8901272575502965
沧州,德州,1.0425428896179771
沧州,廊坊,1.2114877691305852
沧州,衡水,1.3145938535475492
沧州,东营,1.8089520162464219
承德,唐山,1.3496226862423415
承德,赤峰,1.6363221152392446
承德,廊坊,1.9154953718748535
承德,秦皇岛,1.9192735902640388
邯郸,邢台,0.46647209318671956
邯郸,安阳,0.5167924632964445
邯郸,石家庄,1.4066698128221151
邯郸,新乡,1.4361200935649552
衡水,德州,0.6665059186128828
衡水,石家庄,1.2356446130348298
衡水,聊城,1.3114616226230196
衡水,邢台,1.3746446503169485
廊坊,天津,0.6250975850609255
廊坊,唐山,1.4157575579067283
廊坊,张家口,2.24212096941847
秦皇岛,唐山,1.5112520745808664
秦皇岛,锦州,1.9341991499145044
秦皇岛,大连,2.292025560754507
秦皇岛,赤峰,2.377000406893108
石家庄,邢台,0.9404992929338134
石家庄,大同,2.4180007123549414
石家庄,晋中,1.870483609628535
石家庄,太原,1.9028936412288022
唐山,天津,1.033322067789616
唐山,赤峰,2.7613624836027952
邢台,安阳,0.9766803787411762
安阳,新乡,0.9319128931574001
安阳,长治,1.2728835742399953
焦作,晋城,0.4407804444902272
焦作,新乡,0.6305734261709647
焦作,郑州,0.6380531644698523
焦作,洛阳,0.9622368504645823
焦作,开封,1.2062454968293073
焦作,长治,0.9789761359808574
开封,郑州,0.6939629340714122
开封,新乡,0.7274294214478823
开封,许昌,0.9198489327384164
开封,菏泽,1.24187931424474
洛阳,晋城,0.9026699751963652
洛阳,郑州,1.2251928508647019
洛阳,平顶山,1.2985018997598663
洛阳,运城,1.4843506456781081
漯河,许昌,0.5010484622070005
漯河,驻马店,0.5914891890305404
漯河,周口,0.6236544648801826
漯河,平顶山,0.7534524886368156
漯河,南阳,1.6337145226229213
漯河,信阳,1.4420038297404114
南阳,襄阳,1.0060515228356786
南阳,平顶山,1.0703875480189424
南阳,驻马店,1.531656283916533
南阳,十堰,1.7743901461586638
平顶山,许昌,0.5981866003823575
平顶山,驻马店,1.0464140959433783
商丘,菏泽,0.8004436503621019
商丘,周口,1.3150161929136142
新乡,郑州,0.5935735498899878
新乡,晋城,1.0006853642758964
新乡,长治,1.1836673666216346
信阳,驻马店,0.8508428028220014
信阳,孝感,1.1833403680349117
信阳,武汉,1.559569373585221
信阳,襄阳,1.928885599992126
许昌,郑州,0.7435302291265627
许昌,周口,0.9533212914400854
周口,驻马店,0.8644884354559084
大庆,哈尔滨,1.8243403444448092
大庆,长春,2.705014237571584
大庆,吉林,3.1558770423259532
大庆,红河,4.238000421252682
哈尔滨,吉林,1.9035221076302242
哈尔滨,长春,2.265901328328755
哈尔滨,红河,5.004445629262941
鄂州,黄冈,0.14535019989322168
鄂州,黄石,0.2213407881841884
鄂州,武汉,0.5055875696514006
鄂州,咸宁,0.7532287075178495
鄂州,孝感,1.1091414011432548
鄂州,九江,1.3155715353658957
恩施,达州,2.202805962455151
恩施,常德,2.551032363117339
恩施,十堰,2.6005871002073757
黄冈,黄石,0.33207967586860654
黄冈,武汉,0.5331732416475994
黄冈,咸宁,0.8923932210914691
黄冈,孝感,1.1174834963510736
黄石,武汉,0.6870938312224891
黄石,咸宁,0.7075206012018292
黄石,九江,1.1560383051668344
荆州,岳阳,1.3450247607304457
荆州,常德,1.397406632951552
荆州,襄阳,1.688748277360783
荆州,孝感,1.813490568250348
十堰,襄阳,1.4770104235234698
十堰,渭南,2.2790288543763606
十堰,运城,2.4301132806846737
武汉,孝感,0.6051770027785267
武汉,咸宁,0.7396283824252536
咸宁,孝感,1.1337445854322743
咸宁,岳阳,1.2730830421626063
常德,益阳,0.9055374767733223
常德,娄底,1.3674351787287777
常德,岳阳,1.4568519368463568
郴州,衡阳,1.1544650017267732
郴州,永州,1.5985406058383382
郴州,赣州,1.932001290336262
衡阳,湘潭,1.0248533944999156
衡阳,娄底,1.0546284812733826
衡阳,株洲,1.081299915787473
衡阳,永州,1.1461893328948767
衡阳,邵阳,1.2140916589928474
怀化,邵阳,1.5319353835700737
怀化,永州,1.9457317374746153
怀化,娄底,2.046154370575442
娄底,邵阳,0.7577000783245299
娄底,益阳,0.8509848657385188
娄底,湘潭,0.9170421720537159
娄底,永州,1.356792274475718
娄底,长沙,1.1043970210825422
邵阳,永州,0.7669114890324678
湘潭,株洲,0.24653837582007654
湘潭,长沙,0.3337378237793844
湘潭,益阳,0.8089488089619739
湘潭,宜春,1.526872613189783
益阳,长沙,0.6880426432511233
益阳,岳阳,1.1392531127102499
益阳,株洲,1.0085270253914866
岳阳,长沙,1.1864950373971217
长沙,株洲,0.38628718236695697
长沙,宜春,1.48136951842341
株洲,宜春,1.2819893162912828
吉林,长春,1.2549434057060165
吉林,沈阳,3.7945815248768824
长春,沈阳,2.8648313778915435
常州,无锡,0.38699332468790276
常州,镇江,0.680169719092232
常州,泰州,0.7438639897326688
常州,苏州,0.7839426493749364
常州,南通,0.9315120424127555
常州,扬州,0.8678211618836045
淮安,连云港,0.9686501252216907
淮安,盐城,1.1720987960969784
淮安,扬州,1.2981620472487272
淮安,泰州,1.466639269445966
连云港,日照,0.8758439138505232
连云港,临沂,0.9240641730015182
连云港,盐城,1.5893916965304673
连云港,青岛,1.853925819279998
南京,扬州,0.6300237731078003
南京,镇江,0.643739461032176
南通,无锡,0.7347033905386552
南通,苏州,0.7794953612594477
南通,泰州,0.9935566236148777
南通,上海,1.0122658287905428
苏州,无锡,0.3995169613921297
苏州,嘉兴,0.5854662835210904
苏州,湖州,0.7506909096592314
苏州,上海,0.8482182769358381
苏州,杭州,1.167299240798175
泰州,镇江,0.641002908193873
泰州,扬州,0.64519712214176
泰州,盐城,0.8745470815347752
无锡,湖州,0.7767000777706938
无锡,上海,1.1986339809800173
徐州,枣庄,0.523402528714756
徐州,济宁,1.2790420909356366
徐州,临沂,1.3732162676901987
盐城,扬州,1.2895132861234915
盐城,镇江,1.3978911234312892
扬州,镇江,0.20898777971211538
抚州,南昌,0.8602210335867233
抚州,吉安,1.5622948528802156
抚州,景德镇,1.617321400693443
抚州,上饶,1.7490279785640863
赣州,吉安,1.2874753273736932
吉安,宜春,0.8985704629398867
吉安,南昌,1.7974456002819663
景德镇,上饶,1.1177017008741572
景德镇,九江,1.2859753627675063
景德镇,南昌,1.4434781399529497
九江,南昌,1.0453821308272848
南昌,宜春,1.7206976066296487
上饶,衢州,0.9752587570409186
上饶,金华,1.742428452952091
鞍山,沈阳,0.7940405987309483
鞍山,营口,0.8375461579829472
鞍山,盘锦,0.9288265530485212
鞍山,丹东,1.7145728027902438
鞍山,锦州,1.8454728858262925
鞍山,红河,2.4326593752138863
大连,烟台,1.3965960417443526
大连,威海,1.5811868485795681
大连,营口,1.8725604111510028
大连,锦州,2.2550777601745833
丹东,沈阳,1.9438088911467066
丹东,营口,2.1954244692131817
丹东,盘锦,2.561824502911156
锦州,盘锦,0.9234178382595907
锦州,营口,1.2067991673049927
锦州,赤峰,2.4584758644827005
锦州,红河,2.530675725105852
盘锦,营口,0.55048957603937
盘锦,沈阳,1.4591717605330077
盘锦,红河,2.225442251851977
沈阳,营口,1.581025067725683
沈阳,红河,2.0085398824631318
包头,呼和浩特,1.8424238443599144
包头,榆林,2.3347059472661598
包头,吕梁,3.3044734772429254
包头,大同,3.4998173272542314
包头,银川,4.226398637565682
呼和浩特,大同,1.784441928757843
呼和浩特,太原,3.1089495992313863
呼和浩特,榆林,3.2113149939054497
银川,榆林,3.5510956533460294
银川,宝鸡,4.231971655604987
银川,西宁,4.742921334829514
